Drug1,Drug2
DB00328,DB03193
DB01076,DB03568
DB00515,DB03255
DB01050,DB01174
DB00563,DB00709
DB00143,DB02527
DB00898,DB03568
DB00227,DB02379
DB00399,DB01394
DB00481,DB00907
DB00136,DB04540
DB01064,DB01169
DB00788,DB00798
DB00331,DB00396
DB00624,DB00853
DB00966,DB00970
DB00472,DB03518
DB00166,DB00966
DB00997,DB02527
DB00166,DB00197
DB00435,DB01254
DB00482,DB00997
DB00126,DB01454
DB00312,DB00316
DB00266,DB00755
DB00910,DB01030
DB00279,DB00864
DB00328,DB00482
DB00312,DB01064
DB00321,DB00783
DB00898,DB00966
DB00564,DB02546
DB00694,DB00945
DB00783,DB01064
DB00136,DB00566
DB00435,DB00477
DB00158,DB03255
DB00435,DB00554
DB00227,DB00499
DB00554,DB00982
DB00277,DB00834
DB00470,DB04743
DB00188,DB00407
DB00945,DB01454
DB00661,DB00755
DB00947,DB01852
DB00544,DB01454
DB00184,DB03568
DB00515,DB00523
DB00317,DB00388
DB00636,DB01039
DB00316,DB01356
DB00499,DB01030
DB00091,DB02056
DB00184,DB00741
DB00091,DB02010
DB01394,DB04557
DB00407,DB02587
DB01118,DB02533
DB00162,DB00437
DB00641,DB01118
DB00907,DB01229
DB01041,DB01919
DB00184,DB00966
DB00170,DB01026
DB01120,DB01645
DB01645,DB04540
DB00431,DB01041
DB01174,DB01645
DB00206,DB00641
DB01045,DB03843
DB00997,DB03057
DB00158,DB00841
DB00158,DB00523
DB01592,DB01645
DB00316,DB00619
DB00515,DB00542
DB00421,DB01356
DB03796,DB03843
DB00290,DB02527
DB00170,DB02527
DB00201,DB00396
DB00470,DB00910
DB00295,DB04348
DB00331,DB00470
DB00431,DB00763
DB00580,DB00977
DB01169,DB02052
DB00910,DB01118
DB00307,DB01030
DB00586,DB00795
DB00694,DB01296
DB00421,DB00550
DB00277,DB00773
DB00197,DB00531
DB00898,DB00975
DB00363,DB01577
DB00795,DB01356
DB00877,DB01645
DB00482,DB00877
DB00499,DB00526
DB00470,DB01136
DB00412,DB01085
DB00328,DB00982
DB00143,DB02379
DB00281,DB00624
DB01045,DB03518
DB00255,DB02424
DB00421,DB01394
DB00477,DB00864
DB00997,DB02379
DB00316,DB01599
DB00313,DB00407
DB00566,DB00864
DB01700,DB02709
DB00571,DB01065
DB01169,DB01956
DB00605,DB01039
DB00136,DB00988
DB00863,DB01577
DB00184,DB00975
DB00122,DB00305
DB01030,DB01149
DB00143,DB00499
DB00477,DB02546
DB00795,DB01394
DB00171,DB01076
DB01262,DB04743
DB00396,DB01592
DB00441,DB02901
DB00907,DB01262
DB00773,DB01093
DB00515,DB00572
DB00307,DB00526
DB00368,DB00773
DB00566,DB02546
DB00608,DB00675
DB00136,DB00987
DB00407,DB01645
DB00255,DB01345
DB00431,DB00564
DB00388,DB00477
DB00122,DB01229
DB00388,DB00554
DB00947,DB01200
DB00201,DB00470
DB00470,DB01919
DB01030,DB03193
DB00624,DB01050
DB00122,DB03467
DB04216,DB04827
DB00741,DB01174
DB00412,DB00563
DB00262,DB00741
DB00166,DB00441
DB00605,DB00636
DB00481,DB00515
DB00158,DB00252
DB00458,DB00783
DB00252,DB00624
DB00134,DB00482
DB02546,DB04557
DB00252,DB04827
DB00763,DB02709
DB00277,DB03128
DB00675,DB00871
DB00134,DB00795
DB00158,DB00572
DB00470,DB02424
DB00136,DB00255
DB00162,DB02701
DB00853,DB00907
DB00531,DB01174
DB00554,DB00636
DB00586,DB00982
DB00126,DB00675
DB00554,DB02379
DB00126,DB00481
DB00588,DB00783
DB00988,DB01296
DB00290,DB02379
DB00170,DB02379
DB01222,DB01296
DB00412,DB00790
DB00584,DB00798
DB00431,DB00541
DB00495,DB00788
DB00477,DB00694
DB03619,DB03843
DB04173,DB04540
DB00624,DB00859
DB00313,DB04381
DB00435,DB00694
DB00566,DB00694
DB00134,DB00325
DB00758,DB00977
DB00136,DB01275
DB00624,DB02169
DB00295,DB01248
DB00747,DB04743
DB00428,DB00727
DB00907,DB01222
DB00331,DB00526
DB00624,DB00759
DB00682,DB02709
DB00396,DB00860
DB00170,DB00499
DB00502,DB00641
DB00584,DB00641
DB00571,DB04216
DB00290,DB00499
DB00428,DB01132
DB02379,DB04827
DB00563,DB01345
DB00834,DB01254
DB00363,DB01373
DB00338,DB03843
DB00171,DB00741
DB00435,DB00928
DB00675,DB04827
DB00550,DB01041
