Drug1,Drug2
DB00252,DB00412
DB01454,DB03518
DB00428,DB01042
DB00788,DB01234
DB00277,DB01919
DB00563,DB03193
DB00368,DB01136
DB00305,DB00877
DB02365,DB04216
DB01373,DB04173
DB00091,DB00796
DB00744,DB01234
DB01593,DB03193
DB00431,DB01030
DB00201,DB01076
DB00279,DB00586
DB00566,DB01592
DB00295,DB00317
DB00515,DB01169
DB00184,DB00950
DB00746,DB00795
DB00563,DB00795
DB00197,DB00502
DB01174,DB03843
DB01045,DB01115
DB00727,DB01645
DB00170,DB00338
DB00822,DB00982
DB01065,DB01222
DB00227,DB00255
DB01592,DB03843
DB00206,DB01234
DB00636,DB03619
DB00554,DB01229
DB00501,DB00675
DB01956,DB04743
DB00515,DB01166
DB00122,DB00396
DB00367,DB00624
DB00762,DB04827
DB00290,DB00627
DB00170,DB00627
DB00158,DB00290
DB00255,DB00982
DB00550,DB00580
DB00531,DB02709
DB00316,DB00431
DB00126,DB00863
DB00262,DB00798
DB00316,DB00917
DB00399,DB02379
DB00252,DB04216
DB00313,DB04468
DB00668,DB00783
DB00368,DB01919
DB00279,DB00783
DB00158,DB01169
DB00435,DB00727
DB00712,DB00783
DB00170,DB00977
DB00290,DB00977
DB01356,DB02587
DB00871,DB01645
DB00396,DB01041
DB00907,DB01852
DB00435,DB01132
DB00396,DB01262
DB00188,DB01065
DB00394,DB02587
DB00470,DB00605
DB00118,DB00563
DB00982,DB01169
DB00170,DB00566
DB00477,DB00495
DB00795,DB02527
DB00977,DB03193
DB00262,DB00641
DB00290,DB00566
DB00860,DB00877
DB01174,DB03518
DB00184,DB00451
DB00515,DB01064
DB01592,DB03518
DB00396,DB00763
DB00763,DB01296
DB00091,DB01183
DB00184,DB01576
DB00431,DB01118
DB00945,DB03128
DB00624,DB01085
DB00313,DB00458
DB00678,DB00997
DB00428,DB02587
DB00143,DB00988
DB02379,DB04216
DB00188,DB00412
DB00624,DB01016
DB00316,DB00898
DB00741,DB01356
DB01132,DB01373
DB00763,DB04557
DB00783,DB02315
DB00158,DB00316
DB00877,DB03518
DB01698,DB04743
DB00407,DB03843
DB00143,DB00987
DB00636,DB00822
DB00158,DB01064
DB00502,DB00544
DB00675,DB04216
DB00091,DB00753
DB00252,DB00472
DB00746,DB00982
DB00695,DB00997
DB00563,DB00982
DB00834,DB01221
DB00328,DB01229
DB00381,DB01593
DB00477,DB00586
DB00407,DB00428
DB01221,DB02587
DB00627,DB00798
DB00958,DB01577
DB00481,DB04513
DB00526,DB00773
DB00566,DB00586
DB00502,DB01593
DB00584,DB01593
DB00143,DB01393
DB00544,DB01026
DB00755,DB01076
DB00143,DB00255
DB00773,DB00997
DB00541,DB00798
DB00171,DB00641
DB00197,DB01577
DB00741,DB01394
DB00136,DB00201
DB00396,DB01698
DB00641,DB00712
DB00197,DB01149
DB00396,DB00564
DB00441,DB00624
DB00997,DB01393
DB01296,DB01577
DB00550,DB01852
DB00441,DB04827
DB00563,DB00685
DB00661,DB02379
DB01174,DB02365
DB00790,DB01174
DB00407,DB03518
DB00313,DB01065
DB00394,DB01645
DB00277,DB00295
DB00594,DB01262
DB00477,DB00783
DB01076,DB01093
DB02010,DB04743
DB00898,DB01093
DB00566,DB00783
DB00541,DB00641
DB00331,DB00533
DB00399,DB01045
DB00122,DB00126
DB02527,DB02901
DB00668,DB02656
DB00279,DB02656
DB00712,DB02656
DB00481,DB00571
DB00381,DB01234
DB00550,DB01030
DB00388,DB00727
DB01041,DB01592
DB00997,DB01275
DB00428,DB01645
DB00678,DB00877
DB00977,DB00982
DB00290,DB00987
DB00388,DB01132
DB00197,DB00795
DB00197,DB02169
DB00584,DB01234
DB00586,DB01229
DB00136,DB00477
DB00502,DB01234
DB00641,DB01296
DB00134,DB00262
DB00907,DB00947
DB00227,DB00313
DB00396,DB00541
DB00313,DB00412
DB01296,DB02169
DB00136,DB00554
DB00264,DB00396
DB00605,DB00822
DB00966,DB04743
DB00184,DB00570
DB00512,DB04743
DB00993,DB00997
DB00184,DB01093
DB00396,DB00746
DB00328,DB01262
DB00333,DB00396
DB00987,DB02546
DB00564,DB01065
DB00472,DB02527
DB00091,DB04743
DB00864,DB01174
DB00695,DB00877
DB00970,DB01169
DB01093,DB01296
DB00170,DB01393
DB00641,DB04557
DB00188,DB00472
DB00184,DB00394
DB00290,DB01393
DB00170,DB00255
DB00571,DB00907
DB00668,DB01065
DB00783,DB00945
DB01221,DB01645
DB00445,DB00550
DB01181,DB01229
DB01577,DB02010
DB00317,DB00564
DB01174,DB02375
DB01076,DB02010
DB00091,DB03166
DB00158,DB00328
DB01454,DB01593
DB00162,DB02709
DB00503,DB01296
DB00997,DB01236
DB00279,DB01076
DB00898,DB02010
DB00773,DB00877
DB00451,DB00755
DB00636,DB01221
DB01039,DB04540
DB00313,DB04216
DB00763,DB00917
DB00295,DB00798
DB01085,DB01174
DB00959,DB01296
DB00277,DB02546
DB00550,DB01118
DB00134,DB00305
DB02709,DB02901
DB00091,DB00910
DB00636,DB00958
DB00179,DB00755
DB00563,DB00636
DB00399,DB01370
DB00328,DB01222
DB00134,DB01229
DB00744,DB00997
DB00428,DB00682
DB00295,DB00641
DB00126,DB00512
DB01030,DB01229
DB00197,DB01373
DB00197,DB00368
DB00470,DB01592
DB00412,DB00871
DB00368,DB00864
DB01296,DB01373
DB00091,DB01136
DB00477,DB02656
DB00388,DB04348
DB00694,DB00834
DB00396,DB01268
DB00122,DB00947
DB00566,DB02656
DB00255,DB00860
DB00564,DB04216
DB00783,DB01296
DB00368,DB02546
DB00143,DB00313
DB00482,DB00982
DB01174,DB01593
DB00763,DB00898
DB00126,DB01085
DB00313,DB00472
DB00907,DB01042
DB00624,DB02901
DB01592,DB01593
DB00162,DB01356
DB01045,DB02527
DB00499,DB04224
DB00499,DB00584
DB00472,DB02379
DB00316,DB01164
DB00197,DB00685
DB00458,DB01174
DB00252,DB00290
DB00175,DB02709
DB00126,DB01016
DB00966,DB01919
DB00727,DB00798
DB00605,DB01221
DB00143,DB00993
DB00945,DB01085
DB00477,DB01065
DB00316,DB00675
DB00947,DB04224
DB00091,DB01919
DB01064,DB01296
DB00470,DB00495
DB00877,DB01356
DB00566,DB01065
DB00515,DB00669
DB01262,DB04573
DB00437,DB04216
DB00412,DB04827
DB00982,DB03518
DB00136,DB01181
DB00586,DB01222
DB01174,DB01394
DB00197,DB01700
DB00122,DB00841
DB00435,DB01076
DB00328,DB00746
DB00266,DB00977
DB00533,DB01065
DB00575,DB00783
DB01065,DB01132
DB00694,DB00773
DB00470,DB00860
DB00162,DB01394
DB00641,DB00917
DB02709,DB03619
DB01174,DB01234
DB00313,DB01092
DB00313,DB00788
DB00134,DB01262
DB00126,DB00563
DB00788,DB00877
DB01394,DB03128
DB00407,DB00544
DB01017,DB03843
DB00262,DB00331
DB00661,DB00977
DB00158,DB00669
DB00316,DB00640
DB00316,DB00853
DB00762,DB01041
DB00184,DB00695
DB00396,DB00818
DB00917,DB01577
DB00877,DB01394
DB00448,DB00783
DB00290,DB00313
DB00451,DB00945
DB00526,DB04173
DB00170,DB00313
DB00421,DB01370
DB00515,DB01232
DB00136,DB00399
DB00407,DB01593
DB00252,DB01064
DB01262,DB01592
DB00136,DB00928
DB00762,DB00763
DB00104,DB00755
DB00179,DB00945
DB00806,DB01229
DB01169,DB04557
DB00907,DB02587
DB01183,DB04216
DB00197,DB01039
DB00407,DB00550
DB01159,DB04216
DB00255,DB00277
DB00541,DB01093
DB00170,DB00993
DB00795,DB01370
DB00277,DB00407
DB00122,DB01042
DB00564,DB00788
DB00316,DB01024
DB00624,DB03619
DB00928,DB04216
DB02587,DB02701
DB00316,DB00502
DB00499,DB03843
DB00641,DB00898
DB00363,DB00822
DB00331,DB04224
DB00188,DB00290
DB01045,DB02379
DB00175,DB00550
DB00134,DB01222
DB00407,DB01394
DB00481,DB00570
DB00694,DB03128
DB00741,DB00997
DB01393,DB01577
DB01030,DB01222
DB00947,DB03843
DB00533,DB04216
DB00197,DB00636
DB00188,DB01169
DB00675,DB02052
DB00171,DB00331
DB00407,DB01234
DB00515,DB02709
DB00122,DB00252
DB00515,DB04703
DB00472,DB01045
DB01065,DB04348
DB00325,DB00798
DB00264,DB00947
DB00675,DB01064
DB00399,DB01149
DB00936,DB04216
DB00526,DB00762
DB00685,DB01174
DB00584,DB00997
DB00841,DB01229
DB00394,DB00798
DB00502,DB00997
DB00503,DB00898
DB00177,DB00624
DB00325,DB00571
DB00307,DB03843
DB00316,DB02145
DB00822,DB01254
DB00499,DB03518
DB00570,DB01229
DB00158,DB02709
DB00641,DB01454
DB00412,DB03255
DB00495,DB00755
DB00307,DB00428
DB00947,DB03518
DB00571,DB03568
DB00394,DB00641
DB01698,DB02546
DB00399,DB00482
DB00441,DB01041
DB00188,DB00316
DB00122,DB00134
DB00798,DB00945
DB00091,DB00295
DB00188,DB01064
DB00399,DB00795
DB00907,DB01645
DB00481,DB02010
DB00201,DB00584
DB01041,DB01065
DB00675,DB00747
DB00571,DB00966
DB00122,DB00227
DB00864,DB02533
DB01229,DB03568
DB00636,DB00783
DB00428,DB00641
DB00441,DB00763
DB00910,DB01454
DB00917,DB01373
DB00252,DB00328
DB00169,DB00184
DB00295,DB01093
DB00312,DB00898
DB00773,DB02424
DB00412,DB00523
DB00550,DB01586
DB00515,DB01356
DB00331,DB03843
DB00445,DB00997
DB00252,DB01118
DB00313,DB01169
DB00166,DB00834
DB00316,DB01577
DB00316,DB01149
DB01394,DB04173
DB02010,DB02546
DB00526,DB00790
DB00566,DB00788
DB00746,DB01254
DB00472,DB01370
DB00331,DB00428
DB00841,DB01262
DB00563,DB01254
DB00635,DB01030
DB00515,DB00619
DB00396,DB00907
DB00773,DB01345
DB00584,DB00877
DB00594,DB00947
DB03568,DB04216
DB00158,DB01356
DB01128,DB04216
DB00570,DB01262
DB00254,DB00898
DB00482,DB00860
DB00945,DB02901
DB00945,DB03467
DB00412,DB00542
DB00542,DB01174
DB00834,DB01076
DB00388,DB00741
DB00421,DB01577
DB00162,DB00421
DB00798,DB01296
DB00313,DB02052
DB02424,DB02587
DB00295,DB00331
DB00331,DB03518
DB00255,DB00412
DB00982,DB01356
DB00122,DB00437
DB00441,DB00564
DB00966,DB02546
DB00143,DB00262
DB00541,DB00695
DB00316,DB02169
DB00564,DB01169
DB00313,DB00316
DB00184,DB00834
DB00399,DB00982
DB01041,DB04216
DB00091,DB02546
DB00313,DB01064
DB02709,DB04690
DB00795,DB01577
DB00675,DB01118
DB01118,DB04540
DB00668,DB01169
DB00328,DB01132
DB00122,DB01645
DB00158,DB01394
DB00470,DB01065
DB00201,DB03843
DB00451,DB02527
DB00515,DB01599
DB00396,DB00588
DB00166,DB00773
DB00694,DB04173
DB00982,DB01394
DB00188,DB00328
DB00338,DB00499
DB00977,DB01254
DB00201,DB00428
DB00495,DB00945
DB01149,DB02587
DB00255,DB04216
DB00755,DB04224
DB00412,DB00572
DB00184,DB00959
DB00636,DB02656
DB00313,DB00747
DB02709,DB04573
DB00917,DB01039
DB00977,DB01097
DB00947,DB02375
DB00227,DB01262
DB00564,DB01064
DB00624,DB00958
DB01115,DB04216
DB00126,DB03619
DB00550,DB00715
DB00143,DB00305
DB01017,DB01593
DB00624,DB04690
DB00201,DB03518
DB00678,DB04540
DB00279,DB00316
DB00641,DB00675
DB00668,DB01064
DB00277,DB04827
DB00170,DB00262
DB00143,DB01229
DB00586,DB00727
DB00877,DB00997
DB01169,DB01454
DB01262,DB02656
DB00619,DB00977
DB00122,DB00317
DB00316,DB01373
DB00316,DB00368
DB00586,DB01132
DB00526,DB01229
DB00499,DB00544
DB00396,DB01248
DB00694,DB00762
DB00266,DB00313
DB00526,DB03467
DB00822,DB00928
DB01076,DB03128
DB00295,DB00695
DB00624,DB04573
DB00470,DB04216
DB00898,DB03128
DB00636,DB01076
DB00255,DB00472
DB01159,DB01169
DB00641,DB00853
DB00503,DB00675
DB00328,DB04348
DB00328,DB00907
DB00136,DB01956
DB01017,DB01234
DB01093,DB01370
DB00421,DB01373
DB00495,DB01296
DB00499,DB01593
DB00755,DB01029
DB00988,DB04173
DB00720,DB00898
DB00773,DB04115
DB00136,DB01852
DB00477,DB01169
DB00773,DB04540
DB01092,DB02709
DB01880,DB02379
DB00313,DB00328
DB02365,DB02709
DB00316,DB00685
DB00407,DB00997
DB00566,DB01169
DB00184,DB00863
DB00197,DB01254
DB00451,DB02379
DB00396,DB00515
DB00970,DB01356
DB00428,DB00608
DB00947,DB01593
DB00563,DB01181
DB00834,DB01356
DB00307,DB00544
DB01149,DB01645
DB00515,DB01880
DB00170,DB00305
DB00396,DB02232
DB00795,DB00982
DB00184,DB03128
DB00755,DB03843
DB00431,DB00571
DB00136,DB01030
DB00818,DB01169
DB00197,DB00554
DB00179,DB02379
DB00959,DB01370
DB00316,DB01700
DB00290,DB01229
DB00170,DB01229
DB00399,DB00636
DB00624,DB01592
DB01026,DB01174
DB00783,DB01164
DB00451,DB00499
DB00134,DB00727
DB00307,DB01593
DB00763,DB01577
DB04216,DB04703
DB00396,DB00448
DB00091,DB00407
DB00763,DB01149
DB00169,DB00977
DB00312,DB00675
DB00531,DB00970
DB00126,DB00605
DB00143,DB01262
DB00136,DB00264
DB00134,DB01132
DB00412,DB00437
DB00470,DB00472
DB00499,DB01234
DB00252,DB02709
DB01030,DB01132
DB00928,DB01064
DB00162,DB00531
DB01645,DB01956
DB00970,DB01394
DB00997,DB01262
DB00264,DB01645
DB01645,DB01852
DB00307,DB00481
DB00224,DB02709
DB00472,DB00482
DB01118,DB01393
DB00586,DB04348
DB00947,DB01234
DB00472,DB00795
DB00563,DB00928
DB03843,DB04743
DB00197,DB00435
DB00544,DB00605
DB00627,DB00834
DB00755,DB03518
DB00533,DB01064
DB00605,DB01076
DB01064,DB01164
DB00783,DB01370
DB00678,DB00988
DB00531,DB02010
DB00864,DB01115
DB00763,DB02169
DB00126,DB00388
DB00977,DB01181
DB00541,DB00834
DB00254,DB00675
DB00515,DB01094
DB00307,DB01234
DB00316,DB01039
DB00783,DB00853
DB00177,DB01262
DB00580,DB01030
DB00470,DB00788
DB02379,DB02709
DB01919,DB04216
DB02379,DB04703
DB00331,DB01593
DB00407,DB00877
DB00158,DB00421
DB00331,DB00806
DB00481,DB00834
DB00396,DB03568
DB00118,DB00783
DB00675,DB02709
DB00515,DB04513
DB01064,DB01370
DB00328,DB01248
DB00675,DB04703
DB00437,DB01118
DB00712,DB03843
DB00331,DB00550
DB00458,DB00755
DB00421,DB01039
DB00316,DB00636
DB00313,DB02285
DB00290,DB01262
DB00170,DB01262
DB00197,DB00864
DB02709,DB04539
DB01085,DB01115
DB00526,DB01222
DB00368,DB00947
DB00396,DB00966
DB00541,DB00959
DB00435,DB04224
DB00435,DB00584
DB00773,DB00988
DB00783,DB01024
DB01234,DB02375
DB00571,DB01296
DB01394,DB02901
DB01128,DB01169
DB00279,DB00428
DB00588,DB00755
DB00997,DB01698
DB00331,DB01394
DB00175,DB00531
DB00773,DB00987
DB00134,DB04348
DB01030,DB04348
DB00421,DB00636
DB00641,DB01577
DB00201,DB00544
DB01577,DB04173
DB00755,DB02365
DB00188,DB02709
DB00571,DB04557
DB00472,DB00982
DB00331,DB01234
DB01229,DB01296
DB00815,DB02379
DB00407,DB00678
DB00526,DB00822
DB00763,DB00796
DB00126,DB00958
DB00136,DB00171
DB00945,DB01221
DB00412,DB02701
DB02527,DB02656
DB01041,DB01169
DB00763,DB01373
DB01093,DB01577
DB00481,DB00773
DB00910,DB01050
DB00201,DB01593
DB00143,DB00541
DB00368,DB00841
DB00783,DB02145
DB00624,DB04539
DB01229,DB04557
DB00945,DB00958
DB00624,DB00783
DB00550,DB00798
DB00482,DB04216
DB00177,DB00564
DB00122,DB01174
DB00554,DB00741
DB00143,DB00746
DB00170,DB01222
DB00928,DB01118
DB00783,DB01204
DB00313,DB01232
DB02709,DB04468
DB00503,DB01577
DB00982,DB00997
DB00641,DB02169
DB00550,DB00571
DB00126,DB00166
DB00694,DB02901
DB00197,DB00694
DB00305,DB00624
DB01234,DB01356
DB00396,DB00975
DB00126,DB04573
DB00959,DB01577
DB00533,DB01118
DB00122,DB00641
DB00550,DB00668
DB00997,DB01696
DB00448,DB01169
DB00197,DB00399
DB01041,DB01064
DB00541,DB03128
DB00471,DB00755
DB00755,DB02375
DB00184,DB00266
DB01076,DB01085
DB00201,DB01234
DB00898,DB01085
DB00481,DB00863
DB00544,DB04573
DB00435,DB03843
DB00162,DB00970
DB00184,DB00512
DB00295,DB00959
DB00188,DB01356
DB00451,DB01370
DB00859,DB02656
DB01132,DB02587
DB00798,DB01045
DB00313,DB02709
DB01234,DB01394
DB00313,DB04703
DB00481,DB03128
DB00635,DB01645
DB00290,DB00541
DB00783,DB01577
DB00685,DB00755
DB00388,DB00584
DB00947,DB03467
DB00783,DB01149
DB00126,DB01592
DB00515,DB00531
DB00290,DB00746
DB00170,DB00746
DB00550,DB00950
DB00470,DB01169
DB00328,DB00741
DB00162,DB00184
DB00184,DB01085
DB00641,DB00796
DB00328,DB00966
DB00860,DB04827
DB01166,DB04216
DB00863,DB02656
DB00448,DB01064
DB00188,DB01394
DB00435,DB03518
DB00566,DB03518
DB00641,DB01373
DB00091,DB04827
DB00544,DB01592
DB00184,DB01016
DB00741,DB04540
DB00526,DB01221
DB00255,DB01956
DB00158,DB00531
DB00515,DB00815
DB01064,DB01577
DB01050,DB01393
DB00363,DB01076
DB00741,DB00977
DB01064,DB01149
DB00571,DB00917
DB00564,DB02709
DB01174,DB02424
DB00564,DB04703
DB00763,DB01039
DB00136,DB00503
DB00783,DB00795
DB00755,DB01593
DB01093,DB01373
DB00755,DB00806
DB00977,DB04819
DB00624,DB02656
DB00531,DB00627
DB00472,DB00636
DB00668,DB02709
DB00822,DB01030
DB00399,DB01254
DB00584,DB04540
DB00126,DB00495
DB00499,DB00997
DB00531,DB00977
DB01039,DB01041
DB00136,DB00363
DB00184,DB00563
DB01039,DB01262
DB00503,DB01373
DB00470,DB01064
DB00313,DB01356
DB00399,DB00477
DB00947,DB00997
DB00399,DB00554
DB00841,DB00907
DB01174,DB01345
DB00970,DB00997
DB01132,DB01645
DB01064,DB02169
DB00586,DB00741
DB00255,DB00264
DB00834,DB04224
DB00264,DB01174
DB00798,DB01370
DB00328,DB00975
DB00641,DB01700
DB00512,DB00526
DB00313,DB00619
DB00624,DB01065
DB00571,DB00898
DB00412,DB01174
DB00755,DB01234
DB00388,DB03843
DB00544,DB00860
DB00907,DB01093
DB00175,DB00184
DB00542,DB00755
DB00773,DB00993
DB00563,DB01956
DB00877,DB01345
DB00136,DB01586
DB00864,DB02527
DB00563,DB01852
DB00169,DB00313
DB00608,DB00783
DB01593,DB01956
DB00126,DB00586
DB02533,DB04743
DB00495,DB01045
DB00694,DB00822
DB01593,DB01852
DB00264,DB00641
DB00564,DB01356
DB01169,DB02169
DB00295,DB01026
DB00255,DB00328
DB00171,DB02379
DB00783,DB01373
DB00678,DB04827
DB00325,DB00834
DB00746,DB01030
DB01345,DB02587
DB00563,DB01030
DB00279,DB01593
DB00712,DB01593
DB01645,DB02587
DB00512,DB00947
DB00255,DB01118
DB00316,DB01254
DB01234,DB01880
DB00313,DB01599
DB01454,DB04115
DB00126,DB00783
DB01159,DB02709
DB01039,DB01698
DB00641,DB01039
DB01454,DB04540
DB01085,DB02527
DB00197,DB00396
DB04216,DB04513
DB01115,DB01118
DB00928,DB02709
DB00279,DB00550
DB00499,DB01183
DB00499,DB00877
DB00741,DB00988
DB02587,DB03796
DB00171,DB00499
DB00396,DB00712
DB00316,DB00554
DB00091,DB03255
DB00122,DB00608
DB00134,DB00741
DB01370,DB02901
DB00331,DB00997
DB00481,DB04173
DB00227,DB00907
DB01064,DB01373
DB00790,DB02379
DB00741,DB00987
DB00533,DB02709
DB00977,DB01956
DB00526,DB00727
DB00977,DB01852
DB00515,DB00970
DB00747,DB01169
DB00550,DB00570
DB01577,DB03467
DB00834,DB03843
DB00526,DB01132
DB00550,DB01093
DB00503,DB01039
DB00279,DB01234
DB00712,DB01234
DB01076,DB03467
DB01076,DB02901
DB00898,DB03467
DB00783,DB01700
DB00741,DB01393
DB00898,DB02901
DB00531,DB00773
DB00316,DB00435
DB00396,DB01296
DB00091,DB00523
DB00675,DB01094
DB00317,DB00945
DB00499,DB00678
DB00959,DB01039
DB00977,DB01030
DB00428,DB00959
DB00636,DB04224
DB00541,DB01085
DB00158,DB00970
DB00641,DB04743
DB02379,DB04513
DB00495,DB01370
DB00572,DB01174
DB00122,DB02533
DB00531,DB01393
DB00503,DB00636
DB00594,DB00641
DB00162,DB00338
DB00864,DB02379
DB01174,DB04115
DB00388,DB01454
DB01174,DB04540
DB00396,DB04557
DB00675,DB04513
DB00421,DB00435
DB00563,DB01200
DB00197,DB00470
DB00435,DB00544
DB01592,DB04540
DB00162,DB00627
DB01064,DB01700
DB00608,DB02656
DB00834,DB03518
DB00481,DB00762
DB00184,DB02901
DB00201,DB00997
DB00091,DB00542
DB00669,DB01174
DB00477,DB01356
DB00747,DB01064
DB00162,DB00977
DB00126,DB00458
DB00694,DB01221
DB00910,DB04743
DB00580,DB01645
DB00566,DB01356
DB00158,DB00184
DB02656,DB04216
DB00412,DB00649
DB00170,DB01132
DB00435,DB01593
DB00435,DB00806
DB00316,DB00864
DB00122,DB00331
DB00783,DB01039
DB00550,DB02010
DB00877,DB04540
DB00331,DB00877
DB00162,DB00566
DB01085,DB02379
DB00477,DB00550
DB00313,DB01880
DB00541,DB00563
DB00798,DB01577
DB00368,DB02701
DB00798,DB01149
DB01356,DB03128
DB00126,DB02656
DB00435,DB00481
DB01169,DB01183
DB00143,DB00907
DB00197,DB01852
DB00399,DB00928
DB00331,DB00531
DB00295,DB00512
DB00477,DB01394
DB00451,DB00982
DB01232,DB01234
DB00566,DB01394
DB00945,DB02656
DB00091,DB00252
DB01128,DB02709
DB00624,DB00788
DB00898,DB03619
DB00305,DB00763
DB00407,DB04115
DB00435,DB01234
DB00407,DB04540
DB00091,DB00572
DB00636,DB03843
DB00331,DB00678
DB00564,DB01880
DB00396,DB00635
DB00635,DB00641
DB00126,DB01065
DB00313,DB00421
DB00554,DB00584
DB00481,DB00790
DB00227,DB00515
DB00177,DB00907
DB01041,DB02709
DB00482,DB01030
DB00571,DB00675
DB00407,DB00566
DB00458,DB02379
DB00316,DB00694
DB00563,DB00829
DB00201,DB00877
DB00313,DB01094
DB00175,DB00977
DB00184,DB03619
DB00206,DB00624
DB00544,DB01065
DB00988,DB01221
DB00537,DB00755
DB00763,DB01254
DB00091,DB00134
DB00472,DB00554
DB01221,DB03128
DB00472,DB00477
DB00412,DB01104
DB00170,DB04348
DB00945,DB01076
DB00860,DB01041
DB00575,DB02709
DB00290,DB00907
DB00388,DB00544
DB00126,DB00412
DB00316,DB00399
DB00428,DB01026
DB00197,DB00526
DB00636,DB03518
DB00550,DB00695
DB00313,DB04513
DB00255,DB00363
DB00987,DB01174
DB00166,DB00822
DB00755,DB00997
DB00758,DB01645
DB00822,DB02587
DB00396,DB00917
DB00328,DB04557
DB00305,DB00564
DB00396,DB00431
DB00753,DB00947
DB03518,DB03843
DB00448,DB02709
DB00564,DB01094
DB01065,DB01454
DB00201,DB00678
DB00877,DB00988
DB00412,DB02533
DB00741,DB00993
DB00197,DB01200
DB00118,DB01169
DB00495,DB01577
DB00859,DB01169
DB00431,DB00834
DB00388,DB00481
DB00495,DB01149
DB00523,DB00586
DB00798,DB00982
DB01169,DB04743
DB00877,DB00987
DB00605,DB03843
DB00482,DB01118
DB00636,DB00669
DB00197,DB00947
DB00997,DB01248
DB00277,DB01174
DB00162,DB01393
DB01041,DB01356
DB01118,DB01262
DB00162,DB00255
DB00564,DB04513
DB00264,DB00331
DB00188,DB00531
DB00554,DB03843
DB00470,DB02709
DB00396,DB00898
DB00091,DB00437
DB01174,DB01275
DB00499,DB02424
DB00544,DB04216
DB00143,DB00515
DB00495,DB00795
DB00407,DB00988
DB00541,DB02901
DB00762,DB00945
DB00515,DB00627
DB00512,DB01645
DB00451,DB00636
DB00947,DB02424
DB00118,DB00316
DB00605,DB03518
DB00184,DB00605
DB00531,DB04173
DB00746,DB02587
DB00407,DB00987
DB00563,DB02587
DB00859,DB01064
DB00515,DB00977
DB00279,DB00997
DB00481,DB03467
DB00368,DB01174
DB00763,DB00864
DB01593,DB02587
DB00158,DB00338
DB00755,DB00877
DB00481,DB02901
DB00197,DB00841
DB00712,DB00997
DB00678,DB01041
DB00499,DB01345
DB00431,DB00773
DB00624,DB01169
DB00169,DB01229
DB00834,DB01593
DB00685,DB02379
DB00136,DB00798
DB00526,DB01076
DB00158,DB00627
DB00170,DB01248
DB00947,DB01345
DB00563,DB01586
DB00624,DB01166
DB00136,DB00571
DB00381,DB00624
DB00678,DB00763
DB00396,DB01454
DB00184,DB00388
DB00158,DB00977
DB00177,DB00515
DB02533,DB02546
DB00695,DB01262
DB00982,DB04540
DB00252,DB00970
DB00502,DB00624
DB00584,DB00624
DB01118,DB01698
DB00166,DB01221
DB00501,DB00947
DB00316,DB00333
DB00848,DB02709
DB00122,DB01115
DB00158,DB00566
DB01076,DB01221
DB00175,DB00255
DB00898,DB01221
DB00136,DB00668
DB00470,DB01356
DB00328,DB00917
DB00290,DB00515
DB00636,DB02375
DB01094,DB01169
DB00762,DB01296
DB00428,DB00499
DB00428,DB00512
DB00170,DB00179
DB00122,DB01017
DB00773,DB01041
DB00531,DB00762
DB00126,DB00788
DB00834,DB01234
DB00907,DB00959
DB00898,DB00958
DB00798,DB01039
DB00197,DB01042
DB01169,DB01919
DB00495,DB00982
DB00898,DB04690
DB00571,DB01577
DB00399,DB00470
DB00143,DB03568
DB00571,DB01149
DB00431,DB03128
DB01262,DB02709
DB01262,DB04703
DB00313,DB00815
DB00316,DB00396
DB00997,DB03568
DB01919,DB02709
DB00554,DB01454
DB00544,DB00788
DB00143,DB00741
DB00977,DB01586
DB02527,DB03843
DB00091,DB02701
DB00143,DB00966
DB00441,DB00945
DB00169,DB01262
DB00279,DB00877
DB01050,DB01229
DB00675,DB00970
DB01229,DB01577
DB00134,DB00584
DB00126,DB00533
DB00783,DB01254
DB01030,DB04224
DB00184,DB00958
DB00481,DB03619
DB00184,DB04690
DB00563,DB00681
DB00477,DB00997
DB00550,DB00834
DB00641,DB00864
DB01394,DB02656
DB00331,DB01345
DB00325,DB00563
DB00580,DB00641
DB00162,DB00313
DB00435,DB00997
DB00279,DB00531
DB00571,DB02169
DB00566,DB00997
DB00796,DB01065
DB00542,DB02379
DB00143,DB00162
DB00394,DB00563
DB03843,DB04827
DB01236,DB04216
DB01045,DB04216
DB01370,DB01592
DB00641,DB02546
DB00564,DB00815
DB00636,DB01593
DB00388,DB01050
DB00636,DB00806
DB00091,DB00720
DB00818,DB00997
DB00563,DB00715
DB00188,DB00970
DB03796,DB04216
DB02527,DB03518
DB01064,DB01254
DB01229,DB02169
DB00412,DB00755
DB00627,DB00822
DB00523,DB01065
DB00399,DB01030
DB00747,DB02709
DB00773,DB01698
DB00177,DB00197
DB00136,DB00451
DB00184,DB04573
DB00412,DB03796
DB00503,DB00864
DB01181,DB03843
DB00290,DB03568
DB00499,DB04115
DB00499,DB04540
DB00515,DB01393
DB00197,DB00227
DB00197,DB02587
DB00316,DB00470
DB01262,DB01356
DB00877,DB00993
DB00363,DB03843
DB01296,DB02587
DB00982,DB00988
DB00829,DB04216
DB00910,DB02546
DB02315,DB02379
DB00290,DB00741
DB00170,DB00741
DB00412,DB02315
DB00328,DB01454
DB00947,DB04115
DB00441,DB01296
DB00290,DB00966
DB00170,DB00966
DB00636,DB01394
DB00947,DB04540
DB00695,DB00746
DB00970,DB04540
DB00550,DB00773
